,Date,ActualAll,ActualSar
0,2021-07-16 13:42:51.428571392,0.645923326473123,0.7792834814263034
1,2021-08-15 22:54:32.727272704,0.6451303003003823,0.6515225124742305
2,2021-09-16 03:25:42.857142784,0.623492306405483,0.40957172712711915
3,2021-10-15 18:17:08.571428608,0.6506701000025485,0.7057388884950536
4,2021-11-14 11:25:42.857142784,0.6383422289902924,0.6829421489586612
5,2021-12-16 00:00:00.000000000,0.6555515572882361,0.6457965102786188
6,2022-01-16 04:48:00.000000000,0.6319304847756105,0.6422575171728648
7,2022-02-13 12:37:53.684210432,0.6257262810916501,0.2542759054126947
8,2022-03-16 00:00:00.000000000,0.6470044801137488,0.6635619104423519
9,2022-04-15 19:12:00.000000000,0.6407306712640123,0.6683061361725271
10,2022-05-15 06:51:25.714285824,0.6529795425018906,0.6997034861516437
11,2022-06-15 11:25:42.857142784,0.6223051306365633,0.373418182977236
12,2022-07-16 08:24:00.000000000,0.6645995375954584,0.7674211936913143
13,2022-08-15 15:39:07.826086912,0.6255417615695161,0.7632099784799424
14,2022-09-16 13:42:51.428571392,0.62971862683437,0.21672065564436788
15,2022-10-16 05:42:51.428571392,0.6655443550630752,0.7828777428005864
16,2022-11-14 21:42:51.428571392,0.6469676036363777,0.8834703453524982
17,2022-12-15 13:42:51.428571392,0.6393082136924907,0.5691496578510076
18,2023-01-16 15:36:00.000000000,0.6404983146310939,0.6413062968863525
19,2023-02-14 00:00:00.000000000,0.6367723500405301,0.5314091483407701
20,2023-03-16 08:20:52.173913088,0.6437940521847948,0.5461730809393365
21,2023-04-15 22:44:12.631578880,0.6482546216151764,0.7528399756919107
22,2023-05-15 01:05:27.272727296,0.6315957561274146,0.5648372422402079
23,2023-06-15 21:42:51.428571392,0.6550818728911851,0.749776642720453
24,2023-07-16 20:24:00.000000000,0.6614755388280347,0.8165102214824881
25,2023-08-16 00:00:00.000000000,0.6413244953910727,0.603555695595773
26,2023-09-16 08:24:00.000000000,0.6298999733318756,0.6088752220394659
27,2023-10-15 22:54:32.727272704,0.6436129135915082,0.5350547359659543
28,2023-11-15 08:00:00.000000000,0.656729312751267,0.8494602600752571
29,2023-12-15 07:12:00.000000000,0.6599780836078671,0.9151914926572573
30,2024-01-16 09:08:34.285714176,0.6283416712168057,0.5684886832633366
31,2024-02-15 04:48:00.000000000,0.6438675800420656,0.5256720182532699
32,2024-03-15 02:24:00.000000000,0.6647544459438063,0.9723666449680046
33,2024-04-14 22:54:32.727272704,0.6577259988596013,0.7925526686567023
34,2024-05-03 19:12:00.000000000,0.640755866987312,0.9254578222435272
